product_image,product_name,nutrient_name_raw,nutrient_name_standard,amount,unit,serving_size,daily_value_pct
product_12.png,,Energy,energy,10,kcal,1 Softgel (1.2g),0.5
product_12.png,,Total Fat,total_fat,1.1,g,1 Softgel (1.2g),1.6
product_12.png,,Saturates,saturated_fat,0.1,g,1 Softgel (1.2g),0.5
product_12.png,,Monounsaturates,monounsaturated_fat,0.1,g,1 Softgel (1.2g),
product_12.png,,Polyunsaturates,polyunsaturated_fat,0.9,g,1 Softgel (1.2g),
product_12.png,,EPA (rTG form),epa,500,mg,1 Softgel (1.2g),
product_12.png,,DHA (rTG form),dha,250,mg,1 Softgel (1.2g),
product_12.png,,Total Omega-3 Fatty Acids,total_omega_3_fatty_acids,900,mg,1 Softgel (1.2g),
product_12.png,,Other Omega-3s,other_omega_3s,150,mg,1 Softgel (1.2g),
product_12.png,,Cholesterol,cholesterol,5,mg,1 Softgel (1.2g),1.7
product_12.png,,Salt,salt,0.1,g,1 Softgel (1.2g),0.16
product_12.png,,Vitamin E (as d-alpha tocopherol),vitamin_e,15,mg,1 Softgel (1.2g),125
product_12.png,,Rosemary Extract (Rosmarinus officinalis),rosemary_extract,5,mg,1 Softgel (1.2g),
product_13.png,NordHerz Omega-3,Fischöl-Konzentrat,fish_oil_concentrate,1000,mg,2 Kapseln,
product_13.png,NordHerz Omega-3,davon EPA,epa,330,mg,2 Kapseln,
product_13.png,NordHerz Omega-3,davon DHA,dha,220,mg,2 Kapseln,
product_13.png,NordHerz Omega-3,Vitamin E,vitamin_e,5,mg,2 Kapseln,42
